scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
media/ultra	g3-wrk	16	464.707800	27.491500	62.192600	65.073900	74.770900	65.697100	0.387340	387340.173761	14.747612	92.172576	1.021905	0.972708
media/ultra	g4-park	16	464.722300	24.577100	72.994700	76.499500	96.468500	79.344370	0.387328	387328.088194	14.593904	91.211902	1.021873	0.972677
media/ultra	all	16	478.837800	19.139300	108.204900	115.751800	150.505867	128.306800	0.375910	375910.172505	14.069733	87.935831	0.991749	0.944004
media/ultra	final	16	474.914500	24.866600	69.105700	75.922300	88.697133	83.131570	0.379016	379015.591227	14.147283	88.420521	0.999942	0.951803
media/ultra	TBB	16	474.887000	206.921800	401.173100	404.906100	404.195600	405.049960	0.379038	379037.539457	14.469274	90.432963	1.000000	0.951858
media/ultra	WinTP	16	452.024900	172.645400	317.048000	320.080100	326.531000	320.522160	0.398208	398208.151808	14.773818	92.336366	1.050577	1.000000
mista/baixa	oficial	16	25.372900	1.507900	22.268000	22.864900	22.712200	22.900180	0.788243	788242.573770	16.860384	105.377403	1.004272	1.024010
mista/baixa	g1-ring	16	25.215800	1.770100	23.153400	23.805100	24.430633	24.190250	0.793153	793153.498997	15.827949	98.924684	1.010529	1.030390
mista/baixa	g2-sub	16	25.323500	11.780600	22.932200	23.138200	23.176933	23.152470	0.789780	789780.243647	17.241855	107.761593	1.006231	1.026007
mista/baixa	g3-wrk	16	25.244900	4.390500	21.099900	21.420200	21.370833	21.448300	0.792239	792239.224556	9.902990	61.893689	1.009364	1.029202
mista/baixa	g4-park	16	25.178600	2.464300	21.982400	22.485600	22.933567	22.518410	0.794325	794325.339773	9.929067	62.056667	1.012022	1.031912
mista/baixa	all	16	25.173100	12.095800	23.536000	23.867300	23.846500	23.901700	0.794499	794498.889688	9.931236	62.070226	1.012243	1.032137
mista/baixa	final	16	24.966800	1.522700	22.560500	23.214800	23.543600	23.397480	0.801064	801063.812743	10.035727	62.723295	1.020607	1.040666
mista/baixa	TBB	16	25.481300	9.155500	18.357200	18.626100	18.980900	18.636140	0.784889	784889.310985	18.395843	114.974020	1.000000	1.019654
mista/baixa	WinTP	16	25.982100	8.132100	16.332300	16.483600	16.384133	16.496210	0.769761	769760.719880	17.138896	107.118103	0.980725	1.000000
mista/media	oficial	16	87.843500	11.365900	57.190200	57.421300	64.623367	57.453770	0.683033	683032.893726	13.410428	83.815176	1.114813	1.188709
mista/media	g1-ring	16	89.202900	18.018000	73.208700	77.475400	75.863133	78.058490	0.672624	672623.872094	15.764622	98.528888	1.097824	1.170594
mista/media	g2-sub	16	88.312000	6.599900	79.664100	80.393300	79.487367	80.461490	0.679409	679409.366790	15.762183	98.513642	1.108899	1.182403
mista/media	g3-wrk	16	90.261800	18.789200	72.021900	72.279500	68.290967	72.294360	0.664733	664733.032135	13.960161	87.251008	1.084945	1.156861
